Code,Region/Country/Area,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,GDP in current prices (millions of US dollars),13567237.72,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),31128272.88,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),47605038.38,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),66231828.75,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),74882647.96,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2017,GDP in current prices (millions of US dollars),80789197.88,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2018,GDP in current prices (millions of US dollars),85693321.61,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",1985,GDP per capita (US dollars),2787.1426,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),5420.2254,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),7278.7537,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),9522.7233,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),10149.4233,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2017,GDP per capita (US dollars),10706.1796,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2018,GDP per capita (US dollars),11232.2178,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",1985,GDP in constant 2010 prices (millions of US dollars),30053962.64,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",1995,GDP in constant 2010 prices (millions of US dollars),40241006.63,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2005,GDP in constant 2010 prices (millions of US dollars),56369519.93,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2010,GDP in constant 2010 prices (millions of US dollars),64699160.78,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2015,GDP in constant 2010 prices (millions of US dollars),74882647.96,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
1,"Total, all countries or areas",2017,GDP in constant 2010 prices (millions of US dollars),79428815.94,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
