Region/Country/Area,Region,Year,Series,Value
1,"Total, all countries or areas",2005,Students enrolled in primary education (thousands),678920.8179
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (male),104.5005
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (female),99.731
1,"Total, all countries or areas",2005,Students enrolled in secondary education (thousands),509254.2941
1,"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (male),65.7811
1,"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (female),62.3132
1,"Total, all countries or areas",2005,Students enrolled in tertiary education (thousands),139578.2491
1,"Total, all countries or areas",2005,Gross enrollment ratio - Tertiary (male),23.7645
1,"Total, all countries or areas",2005,Gross enrollment ratio - Tertiary (female),24.9429
1,"Total, all countries or areas",2010,Students enrolled in primary education (thousands),697001.1514
1,"Total, all countries or areas",2010,Gross enrollment ratio - Primary (male),104.4358
1,"Total, all countries or areas",2010,Gross enrollment ratio - Primary (female),101.7763
1,"Total, all countries or areas",2010,Students enrolled in secondary education (thousands),546192.2096
1,"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (male),72.1982
1,"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (female),69.8407
1,"Total, all countries or areas",2010,Students enrolled in tertiary education (thousands),182257.6784
1,"Total, all countries or areas",2010,Gross enrollment ratio - Tertiary (male),28.4958
1,"Total, all countries or areas",2010,Gross enrollment ratio - Tertiary (female),30.6914
1,"Total, all countries or areas",2014,Students enrolled in primary education (thousands),715427.0483
1,"Total, all countries or areas",2014,Gross enrollment ratio - Primary (male),102.8891
1,"Total, all countries or areas",2014,Gross enrollment ratio - Primary (female),102.6662
1,"Total, all countries or areas",2014,Students enrolled in secondary education (thousands),580892.5288
1,"Total, all countries or areas",2014,Gross enrollment ratio - Secondary (male),75.7289
1,"Total, all countries or areas",2014,Gross enrollment ratio - Secondary (female),74.8817
1,"Total, all countries or areas",2014,Students enrolled in tertiary education (thousands),213025.3551
1,"Total, all countries or areas",2014,Gross enrollment ratio - Tertiary (male),33.8861
1,"Total, all countries or areas",2014,Gross enrollment ratio - Tertiary (female),37.7781
1,"Total, all countries or areas",2015,Students enrolled in primary education (thousands),720012.3414
1,"Total, all countries or areas",2015,Gross enrollment ratio - Primary (male),102.5383
1,"Total, all countries or areas",2015,Gross enrollment ratio - Primary (female),102.4833
1,"Total, all countries or areas",2015,Students enrolled in secondary education (thousands),582977.146
1,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (male),75.8609
1,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (female),74.9425
1,"Total, all countries or areas",2015,Students enrolled in tertiary education (thousands),217626.6071
1,"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (male),34.8279
1,"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (female),38.8984
1,"Total, all countries or areas",2018,Students enrolled in primary education (thousands),750739.379
1,"Total, all countries or areas",2018,Gross enrollment ratio - Primary (male),103.7687
1,"Total, all countries or areas",2018,Gross enrollment ratio - Primary (female),104.1346
1,"Total, all countries or areas",2018,Students enrolled in secondary education (thousands),594663.1921
1,"Total, all countries or areas",2018,Gross enrollment ratio - Secondary (male),75.9838
1,"Total, all countries or areas",2018,Gross enrollment ratio - Secondary (female),75.1079
1,"Total, all countries or areas",2018,Students enrolled in tertiary education (thousands),223671.8735
1,"Total, all countries or areas",2018,Gross enrollment ratio - Tertiary (male),35.6392
1,"Total, all countries or areas",2018,Gross enrollment ratio - Tertiary (female),40.6049
15,Northern Africa,2005,Students enrolled in primary education (thousands),23022.99
15,Northern Africa,2005,Gross enrollment ratio - Primary (male),96.9346
15,Northern Africa,2005,Gross enrollment ratio - Primary (female),89.9283
15,Northern Africa,2005,Students enrolled in secondary education (thousands),16897.2124
15,Northern Africa,2005,Gross enrollment ratio - Secondary (male),69.8168
15,Northern Africa,2005,Gross enrollment ratio - Secondary (female),68.9041
15,Northern Africa,2005,Students enrolled in tertiary education (thousands),4585.9478
15,Northern Africa,2005,Gross enrollment ratio - Tertiary (male),24.1102
15,Northern Africa,2005,Gross enrollment ratio - Tertiary (female),23.2441
15,Northern Africa,2010,Students enrolled in primary education (thousands),23597.7149
15,Northern Africa,2010,Gross enrollment ratio - Primary (male),100.801
15,Northern Africa,2010,Gross enrollment ratio - Primary (female),95.4895
15,Northern Africa,2010,Students enrolled in secondary education (thousands),17398.6579
15,Northern Africa,2010,Gross enrollment ratio - Secondary (male),71.9724
15,Northern Africa,2010,Gross enrollment ratio - Secondary (female),70.347
15,Northern Africa,2010,Students enrolled in tertiary education (thousands),5514.0766
15,Northern Africa,2010,Gross enrollment ratio - Tertiary (male),26.2268
15,Northern Africa,2010,Gross enrollment ratio - Tertiary (female),28.1748
15,Northern Africa,2014,Students enrolled in primary education (thousands),25161.9305
15,Northern Africa,2014,Gross enrollment ratio - Primary (male),101.1054
15,Northern Africa,2014,Gross enrollment ratio - Primary (female),97.8254
15,Northern Africa,2014,Students enrolled in secondary education (thousands),18623.8085
15,Northern Africa,2014,Gross enrollment ratio - Secondary (male),77.7209
15,Northern Africa,2014,Gross enrollment ratio - Secondary (female),76.7317
15,Northern Africa,2014,Students enrolled in tertiary education (thousands),5889.96
15,Northern Africa,2014,Gross enrollment ratio - Tertiary (male),28.1288
15,Northern Africa,2014,Gross enrollment ratio - Tertiary (female),30.3103
15,Northern Africa,2015,Students enrolled in primary education (thousands),25786.0226
15,Northern Africa,2015,Gross enrollment ratio - Primary (male),101.4662
15,Northern Africa,2015,Gross enrollment ratio - Primary (female),97.9952
15,Northern Africa,2015,Students enrolled in secondary education (thousands),18934.1031
15,Northern Africa,2015,Gross enrollment ratio - Secondary (male),78.6103
15,Northern Africa,2015,Gross enrollment ratio - Secondary (female),78.1702
15,Northern Africa,2015,Students enrolled in tertiary education (thousands),6358.292
